N HSQ P NCAU START STOP EST
50000 0.05 1095 3 16050408 17674295 0.0532
50000 0.05 1095 3 16050408 17674295 0.052
50000 0.05 1095 3 16050408 17674295 0.053
50000 0.05 1095 3 16050408 17674295 0.0548
50000 0.05 1095 3 16050408 17674295 0.0508
50000 0.05 1095 3 16050408 17674295 0.0512
50000 0.05 1095 3 16050408 17674295 0.0505
50000 0.05 1095 3 16050408 17674295 0.052
50000 0.05 1095 3 16050408 17674295 0.0493
50000 0.05 1095 3 16050408 17674295 0.0532
50000 0.05 1095 3 16050408 17674295 0.054
50000 0.05 1095 3 16050408 17674295 0.0545
50000 0.05 1095 3 16050408 17674295 0.0408
50000 0.05 1095 3 16050408 17674295 0.0528
50000 0.05 1095 3 16050408 17674295 0.0501
50000 0.05 1095 3 16050408 17674295 0.0499
50000 0.05 1095 3 16050408 17674295 0.0494
50000 0.05 1095 3 16050408 17674295 0.049
50000 0.05 1095 3 16050408 17674295 0.0546
50000 0.05 1095 3 16050408 17674295 0.0512
50000 0.05 1095 3 16050408 17674295 0.0523
50000 0.05 1095 3 16050408 17674295 0.0505
50000 0.05 1095 3 16050408 17674295 0.0545
50000 0.05 1095 3 16050408 17674295 0.0494
50000 0.05 1095 3 16050408 17674295 0.0535
50000 0.05 1095 3 16050408 17674295 0.0501
50000 0.5 1095 3 16050408 17674295 0.508
50000 0.5 1095 3 16050408 17674295 0.517
50000 0.5 1095 3 16050408 17674295 0.511
50000 0.5 1095 3 16050408 17674295 0.508
